Satellite SST averaged in 10*10 grid points,,,,,,,
147.45-147.54˚E & 42.75-42.84˚S,,,,,,,
2018-19,,,2017-18,,,2016-17,
Date,DailyTemp,,Date,DailyTemp,,Date,DailyTemp
1/11/2018,13.955 ,,1/11/2017,14.254 ,,1/11/2016,12.867 
2/11/2018,14.244 ,,2/11/2017,13.959 ,,2/11/2016,12.690 
3/11/2018,14.226 ,,3/11/2017,13.936 ,,3/11/2016,12.469 
4/11/2018,14.223 ,,4/11/2017,13.825 ,,4/11/2016,12.521 
5/11/2018,14.095 ,,5/11/2017,13.829 ,,5/11/2016,12.550 
6/11/2018,13.990 ,,6/11/2017,13.870 ,,6/11/2016,12.314 
7/11/2018,13.916 ,,7/11/2017,13.774 ,,7/11/2016,12.250 
8/11/2018,13.903 ,,8/11/2017,13.912 ,,8/11/2016,12.347 
9/11/2018,13.936 ,,9/11/2017,14.750 ,,9/11/2016,12.535 
10/11/2018,14.098 ,,10/11/2017,15.046 ,,10/11/2016,12.694 
11/11/2018,14.242 ,,11/11/2017,15.055 ,,11/11/2016,13.140 
12/11/2018,14.793 ,,12/11/2017,14.888 ,,12/11/2016,13.077 
13/11/2018,14.893 ,,13/11/2017,15.142 ,,13/11/2016,13.074 
14/11/2018,14.718 ,,14/11/2017,15.469 ,,14/11/2016,13.728 
15/11/2018,14.704 ,,15/11/2017,15.673 ,,15/11/2016,14.026 
16/11/2018,14.780 ,,16/11/2017,16.293 ,,16/11/2016,14.046 
17/11/2018,14.948 ,,17/11/2017,16.350 ,,17/11/2016,14.336 
18/11/2018,15.331 ,,18/11/2017,16.445 ,,18/11/2016,14.650 
19/11/2018,15.365 ,,19/11/2017,16.549 ,,19/11/2016,14.826 
20/11/2018,15.323 ,,20/11/2017,16.755 ,,20/11/2016,15.032 
21/11/2018,14.290 ,,21/11/2017,18.407 ,,21/11/2016,14.931 
22/11/2018,15.120 ,,22/11/2017,18.210 ,,22/11/2016,14.179 
23/11/2018,14.966 ,,23/11/2017,18.324 ,,23/11/2016,14.085 
24/11/2018,14.808 ,,24/11/2017,18.268 ,,24/11/2016,13.839 
25/11/2018,14.839 ,,25/11/2017,17.717 ,,25/11/2016,13.981 
26/11/2018,14.885 ,,26/11/2017,17.782 ,,26/11/2016,13.850 
27/11/2018,14.934 ,,27/11/2017,18.032 ,,27/11/2016,14.110 
28/11/2018,15.784 ,,28/11/2017,15.749 ,,28/11/2016,14.306 
29/11/2018,16.109 ,,29/11/2017,15.827 ,,29/11/2016,14.502 
30/11/2018,16.404 ,,30/11/2017,17.401 ,,30/11/2016,14.774 
1/12/2018,15.787 ,,1/12/2017,17.431 ,,1/12/2016,15.217 
2/12/2018,15.386 ,,2/12/2017,15.482 ,,2/12/2016,15.391 
3/12/2018,15.420 ,,3/12/2017,15.558 ,,3/12/2016,15.172 
4/12/2018,15.490 ,,4/12/2017,15.531 ,,4/12/2016,15.288 
5/12/2018,15.218 ,,5/12/2017,15.569 ,,5/12/2016,15.712 
6/12/2018,15.189 ,,6/12/2017,15.751 ,,6/12/2016,15.878 
7/12/2018,15.197 ,,7/12/2017,15.721 ,,7/12/2016,15.238 
8/12/2018,15.576 ,,8/12/2017,15.687 ,,8/12/2016,14.747 
9/12/2018,16.165 ,,9/12/2017,16.261 ,,9/12/2016,14.569 
10/12/2018,16.658 ,,10/12/2017,16.755 ,,10/12/2016,14.704 
11/12/2018,17.205 ,,11/12/2017,16.878 ,,11/12/2016,14.717 
12/12/2018,17.528 ,,12/12/2017,16.896 ,,12/12/2016,14.671 
13/12/2018,17.424 ,,13/12/2017,17.024 ,,13/12/2016,14.809 
14/12/2018,16.964 ,,14/12/2017,17.041 ,,14/12/2016,14.911 
15/12/2018,17.092 ,,15/12/2017,17.137 ,,15/12/2016,14.951 
16/12/2018,17.081 ,,16/12/2017,17.275 ,,16/12/2016,15.017 
17/12/2018,17.134 ,,17/12/2017,17.181 ,,17/12/2016,15.050 
18/12/2018,17.340 ,,18/12/2017,17.209 ,,18/12/2016,15.079 
19/12/2018,17.475 ,,19/12/2017,16.999 ,,19/12/2016,15.044 
20/12/2018,17.373 ,,20/12/2017,16.885 ,,20/12/2016,15.489 
21/12/2018,17.294 ,,21/12/2017,17.507 ,,21/12/2016,15.686 
22/12/2018,16.486 ,,22/12/2017,16.572 ,,22/12/2016,16.250 
23/12/2018,17.160 ,,23/12/2017,16.079 ,,23/12/2016,16.562 
24/12/2018,17.410 ,,24/12/2017,16.237 ,,24/12/2016,16.523 
25/12/2018,18.027 ,,25/12/2017,16.524 ,,25/12/2016,17.207 
26/12/2018,18.130 ,,26/12/2017,16.541 ,,26/12/2016,17.629 
27/12/2018,18.099 ,,27/12/2017,17.490 ,,27/12/2016,17.465 
28/12/2018,18.273 ,,28/12/2017,17.680 ,,28/12/2016,16.856 
29/12/2018,17.307 ,,29/12/2017,17.588 ,,29/12/2016,15.878 
30/12/2018,17.554 ,,30/12/2017,17.509 ,,30/12/2016,16.037 
31/12/2018,17.950 ,,31/12/2017,17.573 ,,31/12/2016,16.319 
1/01/2019,18.565 ,,1/01/2018,17.654 ,,1/01/2017,16.144 
2/01/2019,18.291 ,,2/01/2018,17.563 ,,2/01/2017,15.900 
3/01/2019,18.279 ,,3/01/2018,18.032 ,,3/01/2017,15.779 
4/01/2019,18.391 ,,4/01/2018,17.753 ,,4/01/2017,16.863 
5/01/2019,18.602 ,,5/01/2018,17.213 ,,5/01/2017,18.408 
6/01/2019,17.517 ,,6/01/2018,17.398 ,,6/01/2017,18.415 
7/01/2019,17.557 ,,7/01/2018,17.348 ,,7/01/2017,18.150 
8/01/2019,17.834 ,,8/01/2018,17.529 ,,8/01/2017,18.110 
9/01/2019,18.176 ,,9/01/2018,17.992 ,,9/01/2017,17.799 
10/01/2019,17.873 ,,10/01/2018,18.284 ,,10/01/2017,17.987 
11/01/2019,17.701 ,,11/01/2018,18.259 ,,11/01/2017,18.482 
12/01/2019,18.341 ,,12/01/2018,18.072 ,,12/01/2017,17.459 
13/01/2019,19.422 ,,13/01/2018,17.508 ,,13/01/2017,17.629 
14/01/2019,19.492 ,,14/01/2018,17.528 ,,14/01/2017,17.214 
15/01/2019,19.464 ,,15/01/2018,17.666 ,,15/01/2017,17.088 
16/01/2019,19.781 ,,16/01/2018,18.213 ,,16/01/2017,17.287 
17/01/2019,19.537 ,,17/01/2018,18.339 ,,17/01/2017,16.971 
18/01/2019,18.952 ,,18/01/2018,18.210 ,,18/01/2017,17.233 
19/01/2019,19.107 ,,19/01/2018,18.114 ,,19/01/2017,17.503 
20/01/2019,19.182 ,,20/01/2018,18.347 ,,20/01/2017,17.484 
21/01/2019,19.415 ,,21/01/2018,18.407 ,,21/01/2017,17.632 
22/01/2019,19.657 ,,22/01/2018,18.277 ,,22/01/2017,17.754 
23/01/2019,19.473 ,,23/01/2018,18.362 ,,23/01/2017,17.766 
24/01/2019,18.972 ,,24/01/2018,19.516 ,,24/01/2017,17.743 
25/01/2019,19.094 ,,25/01/2018,19.689 ,,25/01/2017,17.321 
26/01/2019,19.242 ,,26/01/2018,20.269 ,,26/01/2017,17.207 
27/01/2019,19.125 ,,27/01/2018,20.418 ,,27/01/2017,16.841 
28/01/2019,19.268 ,,28/01/2018,20.755 ,,28/01/2017,16.746 
29/01/2019,19.587 ,,29/01/2018,20.733 ,,29/01/2017,16.687 
30/01/2019,19.010 ,,30/01/2018,20.360 ,,30/01/2017,17.021 
31/01/2019,18.851 ,,31/01/2018,20.079 ,,31/01/2017,17.021 
1/02/2019,18.932 ,,1/02/2018,18.069 ,,1/02/2017,17.317 
2/02/2019,18.905 ,,2/02/2018,18.155 ,,2/02/2017,17.453 
3/02/2019,18.896 ,,3/02/2018,18.213 ,,3/02/2017,17.612 
4/02/2019,19.129 ,,4/02/2018,18.152 ,,4/02/2017,17.877 
5/02/2019,18.974 ,,5/02/2018,18.108 ,,5/02/2017,18.245 
6/02/2019,19.701 ,,6/02/2018,18.106 ,,6/02/2017,18.345 
7/02/2019,18.836 ,,7/02/2018,18.118 ,,7/02/2017,18.450 
8/02/2019,18.745 ,,8/02/2018,18.030 ,,8/02/2017,18.715 
9/02/2019,18.724 ,,9/02/2018,18.149 ,,9/02/2017,18.686 
10/02/2019,18.803 ,,10/02/2018,18.581 ,,10/02/2017,18.361 
11/02/2019,18.809 ,,11/02/2018,18.623 ,,11/02/2017,18.542 
12/02/2019,19.021 ,,12/02/2018,18.401 ,,12/02/2017,18.593 
13/02/2019,18.596 ,,13/02/2018,18.366 ,,13/02/2017,18.543 
